,Z,N,A,mass,lifetime
629,102,155,257,90247.0,24.5    s 0.5
630,103,154,257,92670.0,6.0    s 0.4
631,104,153,257,95866.0,4.82   s 0.13
632,104,153,257,95940.0,73      11
633,104,153,257,97022.0,1155      11
634,100,158,258,90430.0,370     us 14
635,102,156,258,91480.0,1.2   ms 0.2
636,103,155,258,94780.0,3.6    s 0.4
637,104,154,258,96340.0,13.8   ms 0.9
638,106,152,258,105240.0,2.7   ms 0.5
639,100,159,259,93700.0,1.5    s 0.2
640,101,158,259,93620.0,1.60   h 0.06
641,102,157,259,94079.0,58      m 5
642,103,156,259,95850.0,6.2    s 0.3
